empresa,codigoarticulo,codigoparticular,articulo,rubro,costo,preciopublico,marca,superrubro,gruposuperrubro,familia,ult_fechaingreso,color,silueta,sitioparapublicar,porcentajedescuento,web
Emp1,1,704294365-1,Zapatillas de Trail Adidas Khaki,Moda,$211178.48,$211178.48,Adidas,Mujer,General,Q1 24,8/6/2024,Khaki,Calzado,,,
Emp1,2,923156516-8,Jogger Deportivo Under Armour Aquamarine,Moda,$158749.24,$158749.24,Under Armour,Hombre,Accesorios,Q2 24,26/1/2024,Aquamarine,Pantalon,,,
Emp2,3,275403922-8,Botines de Fútbol Adidas Goldenrod,Moda,$366926.46,$366926.46,Adidas,Hombre,General,Q3 24,8/8/2024,Goldenrod,Calzado,,,
Emp2,4,599113670-X,Remera de Compresión Adidas Blue,Moda,$379788.51,$379788.51,Adidas,Niños,General,Q4 24,29/12/2024,Blue,Remera,,,
Emp1,5,716768490-2,Zapatillas de Trail Adidas Maroon,Moda,$711497.67,$711497.67,Adidas,Hombre,General,Q1 24,13/9/2024,Maroon,Calzado,,,
Emp1,6,662404662-7,Zapatillas de Trail Adidas Green,Running,$98326.41,$98326.41,Adidas,Mujer,Accesorios,Q2 24,26/4/2024,Green,Calzado,,,
Emp1,7,351460790-7,Zapatillas de Basket Under Armour Violet,Moda,$226134.83,$226134.83,Under Armour,Mujer,General,Q3 24,31/7/2024,Violet,Calzado,,,
Emp1,8,082613478-5,Pantalón Deportivo Nike Crimson,Moda,$610268.84,$610268.84,Nike,Hombre,General,Q4 24,13/1/2024,Crimson,Pantalon,,20.0,
Emp2,9,795048851-4,Remera de Running Adidas Red,Moda,$391098.97,$391098.97,Adidas,Hombre,General,Q1 24,23/11/2024,Red,Remera,,46.0,
Emp1,10,207950672-2,Remera de Running Nike Goldenrod,Moda,$186575.12,$186575.12,Nike,Hombre,General,Q2 24,18/2/2024,Goldenrod,Remera,,,
Emp1,11,637938760-9,Zapatillas de Trail Nike Blue,Running,$375612.62,$375612.62,Nike,Mujer,General,Q3 24,26/12/2024,Blue,Calzado,,,
Emp2,12,597681139-6,Zapatillas de Basket Nike Aquamarine,Moda,$562265.82,$562265.82,Nike,Mujer,General,Q4 24,15/5/2024,Aquamarine,Calzado,,38.0,
